# HelioClim-3 Archive Database of Solar Irradiance v5 (derived from satellite data) and meteorological data (MERRA-2/NASA and GFS/NCEP),,,,
# Provider;MINES ParisTech / Armines / Transvalor (France), National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center and National Centers for Environmental Prediction (NCEP),,,
# More information at;http://www.soda-pro.com, http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2 and https://www.emc.ncep.noaa.gov/emc/pages/numerical_forecast_systems/gfs/documentation.php,,,
# gfs update info;date 2022-03-29 - cycle 6,,,,
# Site latitude (positive means North);25.406,,,,
# Site longitude (positive means East);50.757,,,,
# Elevation (m);3,,,,
# Date beginning;2009-12-31,,,,
# Date end;2022-03-28,,,,
# Meteo Data;MERRA-2 data from 2009-12-31 to 2022-02-28 / GFS data from 2022-03-01 to 2022-03-28,,,,
# Time reference (hour);UT,,,,
# Summarization (period of integration);30 minutes (min),,,,
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization,,,,
# Tilt angle (degrees);-999 (tracking),,,,
# Azimuth angle (degrees);-999 (tracking),,,,
# Albedo of the ground;0.20,,,,
# Take into account the shadows due to relief?;1 (yes, with horizon computed from SRTM),,,
# Calibration;None,,,,
# Minimum Sun Elevation;12,,,,
,,,,
# Columns:,,,,
# Irradiation (Wh/m2);Irradiation over the period (-999 if no data),,,,
# Clear-Sky (Wh/m2);Irradiation over the period if the sky were clear,,,,
# Top of Atmosphere (Wh/m2);Irradiation over the period at the top of the atmosphere (extraterrestrial),,,,
# Code;0: no data, 1: sun below horizon, 2: satellite assessment, 5: interpolation in time, 6: forecast
# Temperature (K);Temperature at 2 m above ground,,,,
# Relative humidity (%);Relative humidity at 2 m above ground,,,,
# Pressure (hPa);Pressure at ground level,,,,
# Wind speed (m/s);Wind speed at 10 m above ground,,,,
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...),,,
# Rainfall (kg/m2);Rainfall (= rain depth in mm),,,,
# Snowfall (kg/m2);Snowfall,,,,
# Snow depth (m);Snow depth,,,,
,,,,
# Irradiation values from HelioClim-3 and meteorological data (MERRA-2 and GFS),,,,
# Date;Time;Direct Inclined;Diffuse Inclined;Reflected;Global Inclined;Direct Horiz;Diffuse Horiz;Global Horiz;Clear-Sky;Top of Atmosphere;Code;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth,,,,
2009-12-31;00:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;288.93;90.34;1010.92;4.99;151.00;0.000000;0.000000;0.000000,,,,
2009-12-31;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;288.81;90.99;1011.01;4.98;152.04;0.000000;0.000000;0.000000,,,,
2009-12-31;01:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;288.72;91.43;1011.20;5.00;153.28;0.000000;0.000000;0.000000,,,,
2009-12-31;02:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;288.65;91.47;1011.45;5.06;154.76;0.000000;0.000000;0.000000,,,,
2009-12-31;02:30;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;288.60;91.11;1011.75;5.15;156.44;0.000000;0.000000;0.000000,,,,
2009-12-31;03:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1;288.57;90.90;1012.03;5.25;158.54;0.000000;0.000000;0.000000,,,,
2009-12-31;03:30;0.0000;0.0278;0.0071;0.0349;0.0000;0.0738;0.0738;0.0918;0.5355;5;288.54;90.85;1012.28;5.34;161.03;0.000000;0.000000;0.000000,,,,
2009-12-31;04:00;7.2748;5.4103;0.8098;13.4949;0.5495;8.2349;8.7844;14.2890;46.1035;5;288.86;88.65;1012.49;5.60;163.63;0.000000;0.000000;0.000000,,,,
2009-12-31;04:30;31.7207;24.7137;2.9069;59.3413;5.6922;29.2489;34.9411;51.0872;118.2787;5;289.53;84.45;1012.66;6.02;166.13;0.000000;0.000000;0.000000,,,,
2009-12-31;05:00;95.1650;55.7433;5.6844;156.5928;25.8133;50.6895;76.5029;98.2693;186.4076;2;290.20;80.01;1012.79;6.26;167.13;0.000000;0.000000;0.000000,,,,
2009-12-31;05:30;220.3983;83.9384;8.8651;313.2017;78.5253;58.1665;136.6918;147.6380;249.3244;2;290.86;75.39;1012.88;6.31;166.87;0.000000;0.000000;0.000000,,,,
2009-12-31;06:00;289.1587;91.7095;10.6998;391.5680;125.4629;61.9628;187.4257;194.6874;305.9526;2;291.71;69.37;1012.84;6.55;166.26;0.000000;0.000000;0.000000,,,,
2009-12-31;06:30;333.6885;92.9465;11.7789;438.4139;167.9523;64.2754;232.2277;236.9421;355.3234;2;292.75;62.29;1012.68;7.00;165.36;0.000000;0.000000;0.000000,,,,
2009-12-31;07:00;361.5206;92.8270;12.0350;466.3826;203.0896;66.3694;269.4590;272.8475;396.5919;2;293.68;56.25;1012.35;7.33;165.99;0.000000;0.000000;0.000000,,,,
2009-12-31;07:30;370.6218;94.8433;11.6708;477.1360;225.1786;70.4421;295.6207;301.3177;429.0520;2;294.49;51.05;1011.86;7.55;167.98;0.000000;0.000000;0.000000,,,,
2009-12-31;08:00;376.5095;96.0447;11.4692;484.0234;241.0274;73.3102;314.3377;321.6089;452.1484;2;295.15;47.19;1011.33;7.50;170.43;0.000000;0.000000;0.000000,,,,
2009-12-31;08:30;382.8625;95.8184;11.1921;489.8730;252.3406;74.0424;326.3830;333.2319;465.4858;2;295.65;44.47;1010.75;7.19;173.65;0.000000;0.000000;0.000000,,,,
2009-12-31;09:00;379.0701;97.2591;11.1537;487.4829;251.6221;75.7603;327.3825;335.9180;468.8361;2;296.07;42.61;1010.27;6.77;177.46;0.000000;0.000000;0.000000,,,,
2009-12-31;09:30;367.7426;99.8034;11.0065;478.5526;240.6080;77.6874;318.2954;329.2430;462.1419;2;296.41;41.54;1009.88;6.25;182.20;0.000000;0.000000;0.000000,,,,
2009-12-31;10:00;362.2107;99.0689;11.3709;472.6505;228.5364;75.8941;304.4305;313.3607;445.5178;2;296.66;41.05;1009.60;5.71;187.37;0.000000;0.000000;0.000000,,,,
