# HelioClim-3 Archive Database of Solar Irradiance v5 (derived from satellite data) and meteorological data (MERRA-2/NASA and GFS/NCEP)
# Provider;MINES ParisTech / Armines / Transvalor (France), National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center and National Centers for Environmental Prediction (NCEP)
# More information at;http://www.soda-pro.com, http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2 and https://www.emc.ncep.noaa.gov/emc/pages/numerical_forecast_systems/gfs/documentation.php
# gfs update info;date 2022-03-29 - cycle 6
# Site latitude (positive means North);25.406
# Site longitude (positive means East);50.757
# Elevation (m);3
# Date beginning;2009-12-01
# Date end;2022-02-28
# Meteo Data;MERRA-2 data from 2009-12-01 to 2022-02-28 / no GFS data for this period
# Time reference (hour);UT
# Summarization (period of integration);Month
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization
# Tilt angle (degrees);-999 (tracking)
# Azimuth angle (degrees);-999 (tracking)
# Albedo of the ground;0.20
# Take into account the shadows due to relief?;1 (yes, with horizon computed from SRTM)
# Calibration;None
# Minimum Sun Elevation;12

# Columns:
# Irradiation (Wh/m2);Irradiation over the period (-999 if no data)
# Clear-Sky (Wh/m2);Irradiation over the period if the sky were clear
# Top of Atmosphere (Wh/m2);Irradiation over the period at the top of the atmosphere (extraterrestrial)
# Nb valid days;Number of valid days in the period
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth

# Irradiation values from HelioClim-3 and meteorological data (MERRA-2 and GFS)
# Date;Time;Direct Inclined;Diffuse Inclined;Reflected;Global Inclined;Direct Horiz;Diffuse Horiz;Global Horiz;Clear-Sky;Top of Atmosphere;Nb valid days;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth
2009-12-31;24:00;112742;44915;4559;162216;62010;39156;101167;126161;195955;31;293.26;65.05;1014.14;1.63;333.24;16.980271;0.000000;0.000000
2010-01-31;24:00;154861;48178;5412;208450;87670;38719;126389;145062;208026;31;291.58;58.51;1016.68;1.55;313.95;5.890982;0.000000;0.000000
2010-02-28;24:00;119354;49838;4258;173450;77260;44968;122229;148044;221248;28;293.39;53.35;1011.60;1.30;336.23;0.453906;0.000000;0.000000
2010-03-31;24:00;161621;60150;4593;226364;117353;55431;172785;199074;288710;31;296.76;45.91;1011.30;2.22;344.73;5.167314;0.000000;0.000000
2010-04-30;24:00;122530;57717;3243;183491;95170;55964;151134;203765;313580;30;300.29;48.18;1007.99;1.84;347.35;20.172701;0.000000;0.000000
2010-05-31;24:00;180158;66572;3940;250670;143975;62284;206259;226130;343045;31;304.57;40.76;1002.75;2.66;345.23;8.145824;0.000000;0.000000
2010-06-30;24:00;185930;70438;3990;260357;148746;65973;214718;223838;337353;30;307.67;42.44;997.69;3.55;343.41;0.083219;0.000000;0.000000
2010-07-31;24:00;187393;71460;4012;262865;151147;67116;218263;222606;344234;31;309.08;44.36;994.13;2.87;345.44;0.637915;0.000000;0.000000
2010-08-31;24:00;188763;66788;4175;259727;150101;61653;211754;212835;328739;31;309.90;45.15;996.07;1.55;68.35;0.591730;0.000000;0.000000
2010-09-30;24:00;170472;58762;4343;233577;129695;53801;183496;194717;289848;30;307.79;47.08;1001.12;1.85;13.17;0.587361;0.000000;0.000000
2010-10-31;24:00;158092;58607;5036;221736;106696;51348;158043;175388;258219;31;303.99;52.32;1006.53;2.96;346.89;0.667914;0.000000;0.000000
2010-11-30;24:00;142010;50807;5115;197932;83835;42335;126170;143495;210141;30;298.09;53.32;1012.25;3.09;333.27;1.810404;0.000000;0.000000
2010-12-31;24:00;140919;48271;5268;194457;77350;39114;116464;133981;196007;31;293.00;58.28;1014.09;3.28;320.41;0.175714;0.000000;0.000000
