"logger_id","station_name","tstamp","pyrgeometer_body_temperature_avg","pyrgeometer_body_temperature_max","pyrgeometer_body_temperature_min","pyrgeometer_body_temperature_stdev","pyrgeometer_body_temperature_count","dhi_solar_irradiance_avg","dhi_solar_irradiance_max","dhi_solar_irradiance_min","dhi_solar_irradiance_stdev","dhi_solar_irradiance_count","ghi_solar_irradiance_avg","ghi_solar_irradiance_max","ghi_solar_irradiance_min","ghi_solar_irradiance_stdev","ghi_solar_irradiance_count","eppley_tuvr_voltage_avg","eppley_tuvr_voltage_max","eppley_tuvr_voltage_min","eppley_tuvr_voltage_stdev","eppley_tuvr_voltage_count","dni_voltage_avg","dni_voltage_max","dni_voltage_min","dni_voltage_stdev","dni_voltage_count","pyrgeometer_voltage_avg","pyrgeometer_voltage_max","pyrgeometer_voltage_min","pyrgeometer_voltage_stdev","pyrgeometer_voltage_count","pyrgeometer_ein_solar_ir_avg","pyrgeometer_ein_solar_ir_max","pyrgeometer_ein_solar_ir_min","pyrgeometer_ein_solar_ir_stdev","pyrgeometer_ein_solar_ir_count","pyrgeometer_enet_solar_ir_avg","pyrgeometer_enet_solar_ir_max","pyrgeometer_enet_solar_ir_min","pyrgeometer_enet_solar_ir_stdev","pyrgeometer_enet_solar_ir_count","a1_avg","a1_max","a1_min","a1_stdev","a1_count","a2_avg","a2_max","a2_min","a2_stdev","a2_count","a3_avg","a3_max","a3_min","a3_stdev","a3_count","a4_avg","a4_max","a4_min","a4_stdev","a4_count","a5_avg","a5_max","a5_min","a5_stdev","a5_count","a6_avg","a6_max","a6_min","a6_stdev","a6_count","voltage_avg","voltage_max","voltage_min","current_avg","current_max","current_min","temp_avg","addr"
"D204045","Al Wakrah","2023-02-23 07:59:00+03",NULL,NULL,NULL,NULL,NULL,147.9141,148.4176,147.5021,0.2438,60,370.455,372.4235,368.4561,1.1328,60,NULL,NULL,NULL,NULL,NULL,525.5874,527.8008,524.1203,1.0275,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5479,0.5484,0.5475,0.0002,60,0.7705,0.7724,0.7685,0.0011,60,0.921,0.9232,0.9195,0.001,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.78,28.86,28.66,29.0667,33,29,28,3845356
"D204045","Al Wakrah","2023-02-23 07:58:00+03",NULL,NULL,NULL,NULL,NULL,147.2528,147.8072,146.5865,0.2282,60,367.3269,368.7612,365.7094,0.8746,60,NULL,NULL,NULL,NULL,NULL,523.742,524.7337,522.5868,0.4999,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5473,0.5478,0.5466,0.0002,60,0.7673,0.7688,0.7657,0.0009,60,0.9191,0.9201,0.918,0.0005,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.61,28.71,28.51,29.0667,33,29,28,3845352
"D204045","Al Wakrah","2023-02-23 07:57:00+03",NULL,NULL,NULL,NULL,NULL,146.3322,146.8917,145.9761,0.2585,60,363.9698,366.0146,362.3524,1.1172,60,NULL,NULL,NULL,NULL,NULL,521.8046,523.2002,520.7465,0.7329,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5463,0.5469,0.546,0.0003,60,0.764,0.766,0.7624,0.0011,60,0.9172,0.9186,0.9162,0.0007,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.28,28.56,27.47,29.1333,33,29,28,3845348
"D204045","Al Wakrah","2023-02-23 07:56:00+03",NULL,NULL,NULL,NULL,NULL,145.5743,145.9761,145.0606,0.2544,60,360.2059,362.3524,358.385,1.1746,60,NULL,NULL,NULL,NULL,NULL,518.487,521.3599,508.478,1.92,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5456,0.546,0.5451,0.0003,60,0.7602,0.7624,0.7584,0.0012,60,0.9139,0.9168,0.904,0.0019,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.35,28.41,27.82,29.1,33,29,28,3845344
"D204045","Al Wakrah","2023-02-23 07:55:00+03",NULL,NULL,NULL,NULL,NULL,144.791,145.3658,144.4502,0.239,60,355.9486,358.385,348.619,1.6202,60,NULL,NULL,NULL,NULL,NULL,514.8832,516.7592,512.772,1.0353,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5448,0.5454,0.5445,0.0002,60,0.7559,0.7584,0.7486,0.0016,60,0.9103,0.9122,0.9082,0.001,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.18,28.26,28.06,29.0667,33,29,28,3845340
"D204045","Al Wakrah","2023-02-23 07:54:00+03",NULL,NULL,NULL,NULL,NULL,143.8195,144.4502,143.2295,0.3221,60,352.3169,354.1124,350.4501,1.0882,60,NULL,NULL,NULL,NULL,NULL,512.3375,513.6921,510.9317,0.8735,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5438,0.5445,0.5432,0.0003,60,0.7523,0.7541,0.7505,0.0011,60,0.9078,0.9091,0.9064,0.0009,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.09,28.16,28.01,29.1333,33,29,28,3845336
"D204045","Al Wakrah","2023-02-23 07:53:00+03",NULL,NULL,NULL,NULL,NULL,142.8734,143.2295,142.3139,0.2523,60,348.5987,350.4501,346.1776,1.275,60,NULL,NULL,NULL,NULL,NULL,509.255,511.2384,507.2512,1.2275,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5429,0.5432,0.5423,0.0003,60,0.7486,0.7505,0.7462,0.0013,60,0.9047,0.9067,0.9027,0.0012,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.97,28.01,27.86,29.1333,33,29,28,3845332
"D204045","Al Wakrah","2023-02-23 07:52:00+03",NULL,NULL,NULL,NULL,NULL,142.0342,142.6191,141.3984,0.2989,60,344.1837,346.1776,342.5153,1.0184,60,NULL,NULL,NULL,NULL,NULL,504.8026,506.9445,503.5707,0.8251,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.542,0.5426,0.5414,0.0003,60,0.7442,0.7462,0.7425,0.001,60,0.9003,0.9024,0.8991,0.0008,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.86,27.91,27.82,29.2,33,29,28,3845328
"D204045","Al Wakrah","2023-02-23 07:51:00+03",NULL,NULL,NULL,NULL,NULL,141.1949,141.7035,140.4828,0.2847,60,340.3943,342.5153,337.9376,1.4352,60,NULL,NULL,NULL,NULL,NULL,501.7611,504.4908,498.6633,1.5585,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5412,0.5417,0.5405,0.0003,60,0.7404,0.7425,0.7379,0.0014,60,0.8973,0.9,0.8942,0.0016,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.77,27.82,27.71,29.3333,33,29,27.6,3845324
"D204045","Al Wakrah","2023-02-23 07:50:00+03",NULL,NULL,NULL,NULL,NULL,140.2285,140.788,139.8724,0.2039,60,336.1421,337.9376,334.5805,0.9879,60,NULL,NULL,NULL,NULL,NULL,497.8914,498.97,496.5163,0.7753,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5402,0.5408,0.5399,0.0002,60,0.7361,0.7379,0.7346,0.001,60,0.8934,0.8945,0.8921,0.0008,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.7,27.77,27.66,29.2333,33,29,27,3845320
